,Unnamed: 0,index,rating,caption,middle,reviews
84,34,35,1.0,"(Translated by Google) Bad, but the status says ""The first parcel delivery was unsuccessful. Because the recipient fuzzy delivery ""even though the employee has not yet sent out - did not call the recipient And there is no actual delivery …"," Bad, but the status says ""The first parcel delivery was unsuccessful. Because the recipient fuzzy delivery ""even though the employee has not yet sent out - did not call the recipient And there is no actual delivery …"," Bad, but the status says ""The first parcel delivery was unsuccessful. Because the recipient fuzzy delivery ""even though the employee has not yet sent out - did not call the recipient And there is no actual delivery …"
85,35,36,1.0,"(Translated by Google) Terrible calling all day, thought that he called the cemetery Can't track down parcels, but only spirits are there? As I do not know how to follow, the call is not accepted, the delivery fee is not broken. Free …"," Terrible calling all day, thought that he called the cemetery Can't track down parcels, but only spirits are there? As I do not know how to follow, the call is not accepted, the delivery fee is not broken. Free …"," Terrible calling all day, thought that he called the cemetery Can't track down parcels, but only spirits are there? As I do not know how to follow, the call is not accepted, the delivery fee is not broken. Free …"
86,36,37,1.0,"(Translated by Google) Ordering goods, we hurriedly use the products from the origin, deliver them. And said that we refused to receive the goods even though we didn't call us at all, what are we waiting for? …"," Ordering goods, we hurriedly use the products from the origin, deliver them. And said that we refused to receive the goods even though we didn't call us at all, what are we waiting for? …"," Ordering goods, we hurriedly use the products from the origin, deliver them. And said that we refused to receive the goods even though we didn't call us at all, what are we waiting for? …"
87,37,38,1.0,"(Translated by Google) This transport company is very bad, so send a message saying that it is taking the package to deliver, but it does not return, does not call to inform at all. When I go to check again, I go back down that I contacted …"," This transport company is very bad, so send a message saying that it is taking the package to deliver, but it does not return, does not call to inform at all. When I go to check again, I go back down that I contacted …"," This transport company is very bad, so send a message saying that it is taking the package to deliver, but it does not return, does not call to inform at all. When I go to check again, I go back down that I contacted …"
88,38,39,1.0,"(Translated by Google) Don't order anymore Something from this branch is really bad. Delivered slowly despite the fact that the goods have arrived Status told me, but I can't see it. Call in late at night. I say I can't contact the …"," Don't order anymore Something from this branch is really bad. Delivered slowly despite the fact that the goods have arrived Status told me, but I can't see it. Call in late at night. I say I can't contact the …"," Don't order anymore Something from this branch is really bad. Delivered slowly despite the fact that the goods have arrived Status told me, but I can't see it. Call in late at night. I say I can't contact the …"
89,39,40,1.0,"(Translated by Google) Very bad, very bad, most of the time, this branch is slow, very slow, there is a place of notification saying that the delivery was not successful because the recipient could not be contacted. Sent another day, said …"," Very bad, very bad, most of the time, this branch is slow, very slow, there is a place of notification saying that the delivery was not successful because the recipient could not be contacted. Sent another day, said …"," Very bad, very bad, most of the time, this branch is slow, very slow, there is a place of notification saying that the delivery was not successful because the recipient could not be contacted. Sent another day, said …"
90,40,41,1.0,"(Translated by Google) Suck, said that the product will not come. Called the branch without answering Why is there a phone? Suggested to go home without having to come to work, the delivery man did not call to inform that he would not be …"," Suck, said that the product will not come. Called the branch without answering Why is there a phone? Suggested to go home without having to come to work, the delivery man did not call to inform that he would not be …"," Suck, said that the product will not come. Called the branch without answering Why is there a phone? Suggested to go home without having to come to work, the delivery man did not call to inform that he would not be …"
91,41,42,1.0,"(Translated by Google) Even though my house is near a branch that has to deliver parcels to me About 300 meters The company has not sent yet, will it show the status that it is shipping for? Calling did not pick up, really strange, the …"," Even though my house is near a branch that has to deliver parcels to me About 300 meters The company has not sent yet, will it show the status that it is shipping for? Calling did not pick up, really strange, the …"," Even though my house is near a branch that has to deliver parcels to me About 300 meters The company has not sent yet, will it show the status that it is shipping for? Calling did not pick up, really strange, the …"
92,42,43,1.0,"(Translated by Google) Calls, cut calls, pay for delivery and have to waste time Satang. …"," Calls, cut calls, pay for delivery and have to waste time Satang. …"," Calls, cut calls, pay for delivery and have to waste time Satang. …"
93,43,44,1.0,"(Translated by Google) The quality as everyone commented ... using others is more comfortable, haha. …"," The quality as everyone commented ... using others is more comfortable, haha. …"," The quality as everyone commented ... using others is more comfortable, haha. …"
94,44,45,1.0,"(Translated by Google) Missed a lot using the service here, slow delivery, no calls received. Will not recommend anyone to use again …"," Missed a lot using the service here, slow delivery, no calls received. Will not recommend anyone to use again …"," Missed a lot using the service here, slow delivery, no calls received. Will not recommend anyone to use again …"
95,45,46,1.0,(Translated by Google) Do not use it again.  (Original) อย่าใช้อีกเลยครับ, Do not use it again.  (Original, Do not use it again.  
96,46,47,1.0,"(Translated by Google) So slow !!! Call does not answer Told to send today, did not see anyone calling, very angry …"," So slow !!! Call does not answer Told to send today, did not see anyone calling, very angry …"," So slow !!! Call does not answer Told to send today, did not see anyone calling, very angry …"
97,47,48,1.0,"(Translated by Google) Poor, broken products  (Original) แย่​ ทำสินค้าแตก​"," Poor, broken products  (Original"," Poor, broken products  "
98,48,49,1.0,"(Translated by Google) Close the branch, the number is not connected, the delivery is slow, the call is not wiped. …"," Close the branch, the number is not connected, the delivery is slow, the call is not wiped. …"," Close the branch, the number is not connected, the delivery is slow, the call is not wiped. …"
99,49,50,1.0,"(Translated by Google) It is the most badass transport ever Sell ​​with Lazada Being tied up and unable to choose to transport by yourself If any round sent, Lazada took it to this company Items hit back every round. Customers called out to …"," It is the most badass transport ever Sell ​​with Lazada Being tied up and unable to choose to transport by yourself If any round sent, Lazada took it to this company Items hit back every round. Customers called out to …"," It is the most badass transport ever Sell ​​with Lazada Being tied up and unable to choose to transport by yourself If any round sent, Lazada took it to this company Items hit back every round. Customers called out to …"
100,50,51,1.0,"(Translated by Google) Goodbye, no more, very slow. Tell me the bad weather. Not in one drop, ah We are not there enough to understand, what is it today? Why stop today? Other branches do not stop. …"," Goodbye, no more, very slow. Tell me the bad weather. Not in one drop, ah We are not there enough to understand, what is it today? Why stop today? Other branches do not stop. …"," Goodbye, no more, very slow. Tell me the bad weather. Not in one drop, ah We are not there enough to understand, what is it today? Why stop today? Other branches do not stop. …"
101,51,53,1.0,"(Translated by Google) Really bad, if you can choose, you probably won't use the service again. …"," Really bad, if you can choose, you probably won't use the service again. …"," Really bad, if you can choose, you probably won't use the service again. …"
102,52,54,1.0,"(Translated by Google) Call not answer Did not pick up the package on time. Called and claimed there and disappeared. In the end, 2 days passed before receiving the item. It is possible, do not use the best express service. Very bad. …"," Call not answer Did not pick up the package on time. Called and claimed there and disappeared. In the end, 2 days passed before receiving the item. It is possible, do not use the best express service. Very bad. …"," Call not answer Did not pick up the package on time. Called and claimed there and disappeared. In the end, 2 days passed before receiving the item. It is possible, do not use the best express service. Very bad. …"
103,53,56,5.0,(Translated by Google) _P  (Original) _พ้, _P  (Original, _P  
104,54,58,1.0,"(Translated by Google) Order from Shopee, status says ""Going out and delivering parcels."" This afternoon, I sit and wait to see when the goods will come. In the evening, the status in Shopee reads ""I can't contact the customer"". I'm …"," Order from Shopee, status says ""Going out and delivering parcels."" This afternoon, I sit and wait to see when the goods will come. In the evening, the status in Shopee reads ""I can't contact the customer"". I'm …"," Order from Shopee, status says ""Going out and delivering parcels."" This afternoon, I sit and wait to see when the goods will come. In the evening, the status in Shopee reads ""I can't contact the customer"". I'm …"
105,55,59,1.0,"(Translated by Google) Do not use it again. Trust me, it's so slow, calls won't answer. …"," Do not use it again. Trust me, it's so slow, calls won't answer. …"," Do not use it again. Trust me, it's so slow, calls won't answer. …"
106,56,60,5.0,(Translated by Google) I don't know but you like it.  (Original) ไม่รู้สิ แล้วแต่ใตรชอบ, I don't know but you like it.  (Original, I don't know but you like it.  
107,57,62,1.0,(Translated by Google) Very late. Call at 08.19 hrs. Wait until 9:30 pm. Still haven't come. Don't you know that the car is overturned? …, Very late. Call at 08.19 hrs. Wait until 9:30 pm. Still haven't come. Don't you know that the car is overturned? …, Very late. Call at 08.19 hrs. Wait until 9:30 pm. Still haven't come. Don't you know that the car is overturned? …
108,58,63,1.0,(Translated by Google) Be bad  (Original) ห่วยแตก, Be bad  (Original, Be bad  
109,59,64,1.0,"(Translated by Google) 0 stars, please? Call for an appointment and can't come. So bad. I contacted the head office for 8 lines. It's been 2 days long. Nawaminthon Branch. Please proceed with this operation 2 times. If not ready, then …"," 0 stars, please? Call for an appointment and can't come. So bad. I contacted the head office for 8 lines. It's been 2 days long. Nawaminthon Branch. Please proceed with this operation 2 times. If not ready, then …"," 0 stars, please? Call for an appointment and can't come. So bad. I contacted the head office for 8 lines. It's been 2 days long. Nawaminthon Branch. Please proceed with this operation 2 times. If not ready, then …"
110,60,65,1.0,"(Translated by Google) Very bad. What is the transportation of the language to find home? Call all day, call the branch and call the delivery person. No one answers If you don't get this standard, don't open it at all. …"," Very bad. What is the transportation of the language to find home? Call all day, call the branch and call the delivery person. No one answers If you don't get this standard, don't open it at all. …"," Very bad. What is the transportation of the language to find home? Call all day, call the branch and call the delivery person. No one answers If you don't get this standard, don't open it at all. …"
111,61,66,1.0,"(Translated by Google) Like pickling, refusing to deliver  (Original) ชอบดองของ ไม่ยอมมาส่ง"," Like pickling, refusing to deliver  (Original"," Like pickling, refusing to deliver  "
112,62,68,1.0,(Translated by Google) No one is in the branch? Call all day. No one will pick up the package. …, No one is in the branch? Call all day. No one will pick up the package. …, No one is in the branch? Call all day. No one will pick up the package. …
113,63,69,1.0,"(Translated by Google) The worst thing that has ever been delivered. Wrong delivery that followed. Not found. Finally, we found it. Damage to tens of thousands. Worst, don't use it. Hurry up …"," The worst thing that has ever been delivered. Wrong delivery that followed. Not found. Finally, we found it. Damage to tens of thousands. Worst, don't use it. Hurry up …"," The worst thing that has ever been delivered. Wrong delivery that followed. Not found. Finally, we found it. Damage to tens of thousands. Worst, don't use it. Hurry up …"
114,64,70,1.0,"(Translated by Google) The staff didn't answer the phone calls. The line went very late. Very yesterday. I told him to come to receive the product. Snacks left overnight, did not pick up all 91 items …"," The staff didn't answer the phone calls. The line went very late. Very yesterday. I told him to come to receive the product. Snacks left overnight, did not pick up all 91 items …"," The staff didn't answer the phone calls. The line went very late. Very yesterday. I told him to come to receive the product. Snacks left overnight, did not pick up all 91 items …"
115,65,73,1.0,"(Translated by Google) The goods have arrived at the destination for a long time, but the items are still not preserved. Is this a burdensome burden? It's hard to wait. …"," The goods have arrived at the destination for a long time, but the items are still not preserved. Is this a burdensome burden? It's hard to wait. …"," The goods have arrived at the destination for a long time, but the items are still not preserved. Is this a burdensome burden? It's hard to wait. …"
116,66,74,1.0,"(Translated by Google) Lazada's order on 5 April. The system is delivering on 7 April. But the item has not been delivered. On 10 April, the system will deliver at 8pm. After a while, the system notified that the delivery was unsuccessful. …"," Lazada's order on 5 April. The system is delivering on 7 April. But the item has not been delivered. On 10 April, the system will deliver at 8pm. After a while, the system notified that the delivery was unsuccessful. …"," Lazada's order on 5 April. The system is delivering on 7 April. But the item has not been delivered. On 10 April, the system will deliver at 8pm. After a while, the system notified that the delivery was unsuccessful. …"
117,67,75,1.0,"(Translated by Google) Delivery from 7/4/63. Until today, 11/4/63 have not received the product. Call to ask to say that the product is in the area around Nawamin. The company will deliver again on 13/4/63. The service is very bad .. Just …"," Delivery from 7/4/63. Until today, 11/4/63 have not received the product. Call to ask to say that the product is in the area around Nawamin. The company will deliver again on 13/4/63. The service is very bad .. Just …"," Delivery from 7/4/63. Until today, 11/4/63 have not received the product. Call to ask to say that the product is in the area around Nawamin. The company will deliver again on 13/4/63. The service is very bad .. Just …"
118,68,76,1.0,(Translated by Google) Poor. Delayed delivery to the branch. 2 days not yet delivered. Call to inform the Head Office Promise to send in …, Poor. Delayed delivery to the branch. 2 days not yet delivered. Call to inform the Head Office Promise to send in …, Poor. Delayed delivery to the branch. 2 days not yet delivered. Call to inform the Head Office Promise to send in …
119,69,77,1.0,"(Translated by Google) Order in the shop, choose to send the best express The shopkeeper sent the item on Friday. Instead of getting Saturday The system failed to deliver because the package was blocked. Monday passed. Be quiet. …"," Order in the shop, choose to send the best express The shopkeeper sent the item on Friday. Instead of getting Saturday The system failed to deliver because the package was blocked. Monday passed. Be quiet. …"," Order in the shop, choose to send the best express The shopkeeper sent the item on Friday. Instead of getting Saturday The system failed to deliver because the package was blocked. Monday passed. Be quiet. …"
120,70,78,5.0,(Translated by Google) Give five stars in case of getting a bonus 😂😂😂  (Original) ให้ห้าดาวเผื่อได้โบนัส😂😂😂, Give five stars in case of getting a bonus 😂😂😂  (Original, Give five stars in case of getting a bonus 😂😂😂  
121,71,79,4.0,They went out of their way to help locate and deliver my package. Very pleased with their customer service.,,They went out of their way to help locate and deliver my package. Very pleased with their customer service.
122,0,0,5.0,เพิ่งไปส่งของมาวันนี้ค่ะ พนักงานใจดีมาก 😄✨ ที่จอดรถกว้างขวาง สะดวกสบาย แนะนำที่นี่ค่ะ,,เพิ่งไปส่งของมาวันนี้ค่ะ พนักงานใจดีมาก 😄✨ ที่จอดรถกว้างขวาง สะดวกสบาย แนะนำที่นี่ค่ะ
123,1,1,5.0,เพิ่งไปส่งของมาวันนี้ค่ะ พนักงานใจดีทุกคนเลยค่ะ 😄✨ ที่จอดรถกว้างขวาง สะดวกสบายมากๆ แนะนำที่นี่ค่ะ,,เพิ่งไปส่งของมาวันนี้ค่ะ พนักงานใจดีทุกคนเลยค่ะ 😄✨ ที่จอดรถกว้างขวาง สะดวกสบายมากๆ แนะนำที่นี่ค่ะ
124,2,2,1.0,"(Translated by Google) 3 days delivery, item doesn't move. try to send 3 days in advance to arrive in time because customers hurry to use Asked if I arrived in time, told me in time. …"," 3 days delivery, item doesn't move. try to send 3 days in advance to arrive in time because customers hurry to use Asked if I arrived in time, told me in time. …"," 3 days delivery, item doesn't move. try to send 3 days in advance to arrive in time because customers hurry to use Asked if I arrived in time, told me in time. …"
125,3,3,5.0,(Translated by Google) Deliver and receive parcels quickly and easily. Easy to park. …, Deliver and receive parcels quickly and easily. Easy to park. …, Deliver and receive parcels quickly and easily. Easy to park. …
126,4,4,4.0,(Translated by Google) It's good  (Original) ก็ดีชอย, It's good  (Original, It's good  
127,5,5,2.0,(Translated by Google) Good service staff  (Original) พนักงานบริการดีครับ, Good service staff  (Original, Good service staff  
128,6,7,5.0,"(Translated by Google) New branch, the price is very cheap. There is a wide car garage, lovely staff, come back to use the service again, near the house too. …"," New branch, the price is very cheap. There is a wide car garage, lovely staff, come back to use the service again, near the house too. …"," New branch, the price is very cheap. There is a wide car garage, lovely staff, come back to use the service again, near the house too. …"
129,7,9,4.0,Good,,Good
130,8,10,5.0,"(Translated by Google) Close to the house, the staff came to pick up the items to the house very well. …"," Close to the house, the staff came to pick up the items to the house very well. …"," Close to the house, the staff came to pick up the items to the house very well. …"
131,9,12,5.0,(Translated by Google) I like this branch the most The service is very impressive. Employees come out to help lift things to help with any problems. Employees always take care of them. Shipping cost is very cheap I'm not going anywhere 👍 …, I like this branch the most The service is very impressive. Employees come out to help lift things to help with any problems. Employees always take care of them. Shipping cost is very cheap I'm not going anywhere 👍 …, I like this branch the most The service is very impressive. Employees come out to help lift things to help with any problems. Employees always take care of them. Shipping cost is very cheap I'm not going anywhere 👍 …
132,10,14,5.0,(Translated by Google) Rocking from another transport to come to this branch Because of my Google review Another sound guarantee about the services of this branch …, Rocking from another transport to come to this branch Because of my Google review Another sound guarantee about the services of this branch …, Rocking from another transport to come to this branch Because of my Google review Another sound guarantee about the services of this branch …
133,11,16,4.0,(Translated by Google) Very good service  (Original) บริการดีมากค่ะ, Very good service  (Original, Very good service  
134,12,17,5.0,"(Translated by Google) Send items to customers, online merchants version. Another afternoon, the customer received the package. Is very good …"," Send items to customers, online merchants version. Another afternoon, the customer received the package. Is very good …"," Send items to customers, online merchants version. Another afternoon, the customer received the package. Is very good …"
135,13,19,5.0,"(Translated by Google) Call today to ask the product And how to deliver things by letting the car get in I will say that the employee who answers the phone is very good, explains the job well, has never met anyone so good and explains the …"," Call today to ask the product And how to deliver things by letting the car get in I will say that the employee who answers the phone is very good, explains the job well, has never met anyone so good and explains the …"," Call today to ask the product And how to deliver things by letting the car get in I will say that the employee who answers the phone is very good, explains the job well, has never met anyone so good and explains the …"
136,14,20,5.0,(Translated by Google) The younger staff is very polite and recommends very well. …, The younger staff is very polite and recommends very well. …, The younger staff is very polite and recommends very well. …
137,15,22,5.0,(Translated by Google) Employees of this branch care about customers. Nong Fah is good service. …, Employees of this branch care about customers. Nong Fah is good service. …, Employees of this branch care about customers. Nong Fah is good service. …
138,16,23,5.0,"(Translated by Google) Best express Nuanchan Branch Good service is number one Take care of customers very well, deliver things on time, absolutely friendly price too 😍👍👏👏👏 …"," Best express Nuanchan Branch Good service is number one Take care of customers very well, deliver things on time, absolutely friendly price too 😍👍👏👏👏 …"," Best express Nuanchan Branch Good service is number one Take care of customers very well, deliver things on time, absolutely friendly price too 😍👍👏👏👏 …"
139,17,24,5.0,"(Translated by Google) Go send the goods today Lovely staff, very good service. Talk well, very friendly, the delivery fee is also very cheap. Blessed mm mm mm mm mm …"," Go send the goods today Lovely staff, very good service. Talk well, very friendly, the delivery fee is also very cheap. Blessed mm mm mm mm mm …"," Go send the goods today Lovely staff, very good service. Talk well, very friendly, the delivery fee is also very cheap. Blessed mm mm mm mm mm …"
140,18,25,5.0,(Translated by Google) This branch service is very good.  (Original) สาขานี้บริการดีมากค่ะ, This branch service is very good.  (Original, This branch service is very good.  
141,19,27,5.0,"(Translated by Google) I usually ship with orange couriers, but I am not very impressed. But a few days before I saw this place open a new branch. It is close to home, so try to send it 4-5 times. Never had a point. The work desk is very …"," I usually ship with orange couriers, but I am not very impressed. But a few days before I saw this place open a new branch. It is close to home, so try to send it 4-5 times. Never had a point. The work desk is very …"," I usually ship with orange couriers, but I am not very impressed. But a few days before I saw this place open a new branch. It is close to home, so try to send it 4-5 times. Never had a point. The work desk is very …"
142,20,28,5.0,"(Translated by Google) The children at the shop are very cute. Run to help lift things together as well. The shop is very clean. The smell is not long. More importantly, the price is cheap with a review based on the pictures. …"," The children at the shop are very cute. Run to help lift things together as well. The shop is very clean. The smell is not long. More importantly, the price is cheap with a review based on the pictures. …"," The children at the shop are very cute. Run to help lift things together as well. The shop is very clean. The smell is not long. More importantly, the price is cheap with a review based on the pictures. …"
143,21,29,5.0,"(Translated by Google) The parking lot of the store clean. Flattering flap Service is very fast, I like it. …"," The parking lot of the store clean. Flattering flap Service is very fast, I like it. …"," The parking lot of the store clean. Flattering flap Service is very fast, I like it. …"
144,22,30,5.0,(Translated by Google) Very good service staff Impressive parking lot  (Original) …, Very good service staff Impressive parking lot  (Original, Very good service staff Impressive parking lot  
145,23,31,5.0,"(Translated by Google) In the past, the best transport was still unknown. But there is this branch open near the house, so try to send it in conclusion that the delivery cost is much cheaper than I thought Good service staff, lovely, the …"," In the past, the best transport was still unknown. But there is this branch open near the house, so try to send it in conclusion that the delivery cost is much cheaper than I thought Good service staff, lovely, the …"," In the past, the best transport was still unknown. But there is this branch open near the house, so try to send it in conclusion that the delivery cost is much cheaper than I thought Good service staff, lovely, the …"
146,24,32,5.0,"(Translated by Google) Normal online sales There is no time to come out and ask for the shop to have a pickup service as well, very impressed. There are no cracks or damage problems at all. Very good service …"," Normal online sales There is no time to come out and ask for the shop to have a pickup service as well, very impressed. There are no cracks or damage problems at all. Very good service …"," Normal online sales There is no time to come out and ask for the shop to have a pickup service as well, very impressed. There are no cracks or damage problems at all. Very good service …"
147,25,33,5.0,"(Translated by Google) Send regular stuff Send to many branches But found this place as clean as possible Very good service The service fee is not expensive. And a lot of parking spaces I didn't park on the road like other places, very …"," Send regular stuff Send to many branches But found this place as clean as possible Very good service The service fee is not expensive. And a lot of parking spaces I didn't park on the road like other places, very …"," Send regular stuff Send to many branches But found this place as clean as possible Very good service The service fee is not expensive. And a lot of parking spaces I didn't park on the road like other places, very …"
148,26,34,5.0,"(Translated by Google) Excellent customer service Attention to detail Fragile parcel It has been taken care of very well, it is recommended. …"," Excellent customer service Attention to detail Fragile parcel It has been taken care of very well, it is recommended. …"," Excellent customer service Attention to detail Fragile parcel It has been taken care of very well, it is recommended. …"
149,27,35,5.0,"(Translated by Google) The clean shop is a beautiful delivery shop. Lovely staff, fast, convenient parking. Become a regular customer ♥ ️ …"," The clean shop is a beautiful delivery shop. Lovely staff, fast, convenient parking. Become a regular customer ♥ ️ …"," The clean shop is a beautiful delivery shop. Lovely staff, fast, convenient parking. Become a regular customer ♥ ️ …"
150,28,36,5.0,(Translated by Google) Very good service excellent service  (Original) …, Very good service excellent service  (Original, Very good service excellent service  
151,29,39,5.0,"(Translated by Google) The shop is clean, the younger staff speaks well. The shop is very fragrant. …"," The shop is clean, the younger staff speaks well. The shop is very fragrant. …"," The shop is clean, the younger staff speaks well. The shop is very fragrant. …"
152,30,40,5.0,"(Translated by Google) The service staff is very good, helping carry and help pack the products. There is a complete pack. Parking is very convenient, comfortable, convenient, recommended. …"," The service staff is very good, helping carry and help pack the products. There is a complete pack. Parking is very convenient, comfortable, convenient, recommended. …"," The service staff is very good, helping carry and help pack the products. There is a complete pack. Parking is very convenient, comfortable, convenient, recommended. …"
153,31,41,5.0,"(Translated by Google) Young female staff, very good service. Come help carry things to the door. Plus convenient parking Can park many cars as well. Recommended. …"," Young female staff, very good service. Come help carry things to the door. Plus convenient parking Can park many cars as well. Recommended. …"," Young female staff, very good service. Come help carry things to the door. Plus convenient parking Can park many cars as well. Recommended. …"
