,level_0,index,rating,caption,middle,reviews
198,198,198,1.0,,,nan
199,199,199,1.0,"(Translated by Google) Bad delivery service!! The package has been in Bandung since this morning, it doesn't move at all until the next day!!! …"," Bad delivery service!! The package has been in Bandung since this morning, it doesn't move at all until the next day!!! …"," Bad delivery service!! The package has been in Bandung since this morning, it doesn't move at all until the next day!!! …"
200,200,200,2.0,"(Translated by Google) Very disappointed, even though I shopped at Shopee and the shop is the same from Bandung. It's a shame that shopee now can't choose your own expedition. Usually I use another expedition, the package is safe, because …"," Very disappointed, even though I shopped at Shopee and the shop is the same from Bandung. It's a shame that shopee now can't choose your own expedition. Usually I use another expedition, the package is safe, because …"," Very disappointed, even though I shopped at Shopee and the shop is the same from Bandung. It's a shame that shopee now can't choose your own expedition. Usually I use another expedition, the package is safe, because …"
201,201,201,5.0,"(Translated by Google) Sorry, do you have an office number to call? I want to make an offer of cooperation.. …"," Sorry, do you have an office number to call? I want to make an offer of cooperation.. …"," Sorry, do you have an office number to call? I want to make an offer of cooperation.. …"
202,202,202,4.0,(Translated by Google) The delivery took so long. From the 14th until now it is still waiting for delivery. How could I bring it to the office myself ..... …, The delivery took so long. From the 14th until now it is still waiting for delivery. How could I bring it to the office myself ..... …, The delivery took so long. From the 14th until now it is still waiting for delivery. How could I bring it to the office myself ..... …
203,203,203,1.0,(Translated by Google) Podol hayam expedition  (Original) Ekspedisi podol hayam, Podol hayam expedition  (Original, Podol hayam expedition  
204,204,204,1.0,"(Translated by Google) How come there's no employee??? My package has been delayed for 3 days!!! I'm tired and don't want to use this delivery service anymore, until now the item hasn't been sent, even though I really need it!! From …"," How come there's no employee??? My package has been delayed for 3 days!!! I'm tired and don't want to use this delivery service anymore, until now the item hasn't been sent, even though I really need it!! From …"," How come there's no employee??? My package has been delayed for 3 days!!! I'm tired and don't want to use this delivery service anymore, until now the item hasn't been sent, even though I really need it!! From …"
205,205,205,1.0,"(Translated by Google) Shope express payaaaaaaah,, the courier is lazy and doesn't want to come even though it's arrived this morning,,🖕🖕👎👎👎👎,NON-ACTIVATE THE EXPRES SHOPEE MAKES A LOT OF PEOPLE EMOTIONS,, I'M SORRY using shopee …"," Shope express payaaaaaaah,, the courier is lazy and doesn't want to come even though it's arrived this morning,,🖕🖕👎👎👎👎,NON-ACTIVATE THE EXPRES SHOPEE MAKES A LOT OF PEOPLE EMOTIONS,, I'M SORRY using shopee …"," Shope express payaaaaaaah,, the courier is lazy and doesn't want to come even though it's arrived this morning,,🖕🖕👎👎👎👎,NON-ACTIVATE THE EXPRES SHOPEE MAKES A LOT OF PEOPLE EMOTIONS,, I'M SORRY using shopee …"
206,206,206,1.0,,,nan
207,207,207,1.0,(Translated by Google) the package from the 1st of september it's not clear where the status is.. hadeeeh.. i'm too lazy to use this expedition!!! …, the package from the 1st of september it's not clear where the status is.. hadeeeh.. i'm too lazy to use this expedition!!! …, the package from the 1st of september it's not clear where the status is.. hadeeeh.. i'm too lazy to use this expedition!!! …
208,208,208,1.0,"(Translated by Google) really bad shopee express. It's been a long time since the delivery, the courier is not clear, the point is really bad …"," really bad shopee express. It's been a long time since the delivery, the courier is not clear, the point is really bad …"," really bad shopee express. It's been a long time since the delivery, the courier is not clear, the point is really bad …"
209,209,209,1.0,"(Translated by Google) It's bad, I'm sure that if this continues, it will definitely go bankrupt soon, the recipient's name is not written, even my name, even though I didn't receive it, at least give news or proof of receipt of photos, why …"," It's bad, I'm sure that if this continues, it will definitely go bankrupt soon, the recipient's name is not written, even my name, even though I didn't receive it, at least give news or proof of receipt of photos, why …"," It's bad, I'm sure that if this continues, it will definitely go bankrupt soon, the recipient's name is not written, even my name, even though I didn't receive it, at least give news or proof of receipt of photos, why …"
210,210,210,1.0,(Translated by Google) Be careful the courier is not clear the item is not there but the status of the item has been sent …, Be careful the courier is not clear the item is not there but the status of the item has been sent …, Be careful the courier is not clear the item is not there but the status of the item has been sent …
211,211,211,1.0,"(Translated by Google) Wow, where's my package, it's been playing for a week now …"," Wow, where's my package, it's been playing for a week now …"," Wow, where's my package, it's been playing for a week now …"
212,212,212,1.0,"(Translated by Google) Then how many days have the goods been in the warehouse, even though they really need the goods from Jakarta, it's only for a day, there's really no courier or what. How is the rating from the others too bad. Should …"," Then how many days have the goods been in the warehouse, even though they really need the goods from Jakarta, it's only for a day, there's really no courier or what. How is the rating from the others too bad. Should …"," Then how many days have the goods been in the warehouse, even though they really need the goods from Jakarta, it's only for a day, there's really no courier or what. How is the rating from the others too bad. Should …"
213,213,213,1.0,"slow, unprofessional",,"slow, unprofessional"
214,214,214,1.0,"(Translated by Google) This is really bad, the mening expedition doesn't have to operate at all, when the status is received, I haven't received it at all, the people at home also don't receive the item, but the status has been received …"," This is really bad, the mening expedition doesn't have to operate at all, when the status is received, I haven't received it at all, the people at home also don't receive the item, but the status has been received …"," This is really bad, the mening expedition doesn't have to operate at all, when the status is received, I haven't received it at all, the people at home also don't receive the item, but the status has been received …"
215,215,215,1.0,(Translated by Google) slow delivery  (Original) pengiriman lelet, slow delivery  (Original, slow delivery  
216,216,216,1.0,"(Translated by Google) The package has not arrived for 3 days, it just keeps playing around, in the statement it was sent to the recipient's address but in fact it just returned to the warehouse like that. …"," The package has not arrived for 3 days, it just keeps playing around, in the statement it was sent to the recipient's address but in fact it just returned to the warehouse like that. …"," The package has not arrived for 3 days, it just keeps playing around, in the statement it was sent to the recipient's address but in fact it just returned to the warehouse like that. …"
217,217,217,1.0,(Translated by Google) Delivery from jkrt - old bandung is amazing  (Original) …, Delivery from jkrt - old bandung is amazing  (Original, Delivery from jkrt - old bandung is amazing  
218,218,218,5.0,"(Translated by Google) Since there is no shopee drop point in my area, you have to stay far away. Friendly service …"," Since there is no shopee drop point in my area, you have to stay far away. Friendly service …"," Since there is no shopee drop point in my area, you have to stay far away. Friendly service …"
219,219,219,5.0,,,nan
220,220,220,1.0,,,nan
221,221,221,1.0,"(Translated by Google) My package status has been received but I didn't receive any items, how about this? …"," My package status has been received but I didn't receive any items, how about this? …"," My package status has been received but I didn't receive any items, how about this? …"
222,222,222,1.0,"(Translated by Google) The package has been received even though it has not been received at all, the courier is less responsible!!! …"," The package has been received even though it has not been received at all, the courier is less responsible!!! …"," The package has been received even though it has not been received at all, the courier is less responsible!!! …"
223,223,223,1.0,"(Translated by Google) the item has not been received, it has been said to have been received.. the incident happened on 19 8 2021.. it's really bad shopee express …"," the item has not been received, it has been said to have been received.. the incident happened on 19 8 2021.. it's really bad shopee express …"," the item has not been received, it has been said to have been received.. the incident happened on 19 8 2021.. it's really bad shopee express …"
224,224,224,5.0,"(Translated by Google) Even though the courier is friendly, the goods are proven to arrive because shopee is always cut by people, it's clear that the recipient isn't like other expeditions, there's no photo directly playing, love, this is …"," Even though the courier is friendly, the goods are proven to arrive because shopee is always cut by people, it's clear that the recipient isn't like other expeditions, there's no photo directly playing, love, this is …"," Even though the courier is friendly, the goods are proven to arrive because shopee is always cut by people, it's clear that the recipient isn't like other expeditions, there's no photo directly playing, love, this is …"
225,225,225,1.0,"(Translated by Google) Delivery is quite long, the status is being sent, it has been updated in the morning x but until the afternoon the goods have not arrived …"," Delivery is quite long, the status is being sent, it has been updated in the morning x but until the afternoon the goods have not arrived …"," Delivery is quite long, the status is being sent, it has been updated in the morning x but until the afternoon the goods have not arrived …"
226,226,226,1.0,"(Translated by Google) #mypackage It's been the umpteenth time I'm disappointed with jasper shopee.. a non-cod package, first suddenly the status of the package has been received and the name of …"," #mypackage It's been the umpteenth time I'm disappointed with jasper shopee.. a non-cod package, first suddenly the status of the package has been received and the name of …"," #mypackage It's been the umpteenth time I'm disappointed with jasper shopee.. a non-cod package, first suddenly the status of the package has been received and the name of …"
227,227,227,1.0,"(Translated by Google) Really shopee express jkt-bdg 6 days until now it hasn't arrived"" I'm tired of swearing …"," Really shopee express jkt-bdg 6 days until now it hasn't arrived"" I'm tired of swearing …"," Really shopee express jkt-bdg 6 days until now it hasn't arrived"" I'm tired of swearing …"
228,228,228,1.0,"(Translated by Google) I've been disappointed twice... first, suddenly the package was received and the recipient's name was unknown, but thank God it turned out to be a neighbor. Today is the second day, he said the package has been …"," I've been disappointed twice... first, suddenly the package was received and the recipient's name was unknown, but thank God it turned out to be a neighbor. Today is the second day, he said the package has been …"," I've been disappointed twice... first, suddenly the package was received and the recipient's name was unknown, but thank God it turned out to be a neighbor. Today is the second day, he said the package has been …"
229,229,229,2.0,"(Translated by Google) Where is my package, it's already rich from abroad, it's been a long time. Position there …"," Where is my package, it's already rich from abroad, it's been a long time. Position there …"," Where is my package, it's already rich from abroad, it's been a long time. Position there …"
230,230,230,5.0,,,nan
231,231,231,1.0,"(Translated by Google) Who received my goods wow? Why the phone call is not the item I received but it didn't reach my hand, it's just a shame that it's just annoying …"," Who received my goods wow? Why the phone call is not the item I received but it didn't reach my hand, it's just a shame that it's just annoying …"," Who received my goods wow? Why the phone call is not the item I received but it didn't reach my hand, it's just a shame that it's just annoying …"
232,232,232,1.0,"(Translated by Google) I ordered from the 30th until now not yet arrived... do you intend to open an expedition!!!!! It's very far from J&T, JNE, SICEPAT, NINJA,, if you can't afford to make an …"," I ordered from the 30th until now not yet arrived... do you intend to open an expedition!!!!! It's very far from J&T, JNE, SICEPAT, NINJA,, if you can't afford to make an …"," I ordered from the 30th until now not yet arrived... do you intend to open an expedition!!!!! It's very far from J&T, JNE, SICEPAT, NINJA,, if you can't afford to make an …"
233,233,233,1.0,"(Translated by Google) For the first & last time using shopee express services, I don't want it anymore! It's been a week the package has stalled in South Jakarta, where have the goods …"," For the first & last time using shopee express services, I don't want it anymore! It's been a week the package has stalled in South Jakarta, where have the goods …"," For the first & last time using shopee express services, I don't want it anymore! It's been a week the package has stalled in South Jakarta, where have the goods …"
234,234,234,1.0,(Translated by Google) Delivery takes a long time even though it's within Bandung …, Delivery takes a long time even though it's within Bandung …, Delivery takes a long time even though it's within Bandung …
235,235,235,1.0,,,nan
236,236,236,5.0,,,nan
237,237,237,1.0,,,nan
238,238,238,1.0,,,nan
239,239,239,1.0,"(Translated by Google) Until now, the order has not arrived, but since the 29th it has been sent. On the 31st, I walked to Karawang, but to this day I'm still in Karawag. Just now, I ordered shopee, the delivery was shopee express and it …"," Until now, the order has not arrived, but since the 29th it has been sent. On the 31st, I walked to Karawang, but to this day I'm still in Karawag. Just now, I ordered shopee, the delivery was shopee express and it …"," Until now, the order has not arrived, but since the 29th it has been sent. On the 31st, I walked to Karawang, but to this day I'm still in Karawag. Just now, I ordered shopee, the delivery was shopee express and it …"
240,240,240,1.0,"(Translated by Google) Very disappointed with the Shopee Express service. Delivery is still one city 6 days not yet arrived. Kapok with Shopee Express service, it's better to just deactivate it. …"," Very disappointed with the Shopee Express service. Delivery is still one city 6 days not yet arrived. Kapok with Shopee Express service, it's better to just deactivate it. …"," Very disappointed with the Shopee Express service. Delivery is still one city 6 days not yet arrived. Kapok with Shopee Express service, it's better to just deactivate it. …"
241,241,241,1.0,"(Translated by Google) Every time I use the standard shopee express it's always long... every time I order an old one, it's been many times!""!!! Shopee express should be fast, right? Please improve the service again... make consumers …"," Every time I use the standard shopee express it's always long... every time I order an old one, it's been many times!""!!! Shopee express should be fast, right? Please improve the service again... make consumers …"," Every time I use the standard shopee express it's always long... every time I order an old one, it's been many times!""!!! Shopee express should be fast, right? Please improve the service again... make consumers …"
242,242,242,2.0,"(Translated by Google) Wow, it's true, the package hasn't arrived for 5 days, even though from Jakarta to Bandung, the one from Surabaya using the other side of the expedition arrived in 1 day, please :((((((( , please ouch, which item do …"," Wow, it's true, the package hasn't arrived for 5 days, even though from Jakarta to Bandung, the one from Surabaya using the other side of the expedition arrived in 1 day, please :((((((( , please ouch, which item do …"," Wow, it's true, the package hasn't arrived for 5 days, even though from Jakarta to Bandung, the one from Surabaya using the other side of the expedition arrived in 1 day, please :"
243,243,243,1.0,"(Translated by Google) Disappointed with shoppe please where my goods should arrive on the 3rd yesterday, lol :( …"," Disappointed with shoppe please where my goods should arrive on the 3rd yesterday, lol :( …"," Disappointed with shoppe please where my goods should arrive on the 3rd yesterday, lol :"
244,244,244,5.0,,,nan
245,245,245,1.0,(Translated by Google) Tired of taking so long  (Original) Kapok lama banget, Tired of taking so long  (Original, Tired of taking so long  
246,246,246,1.0,"(Translated by Google) My package didn't arrive, wow  (Original) …"," My package didn't arrive, wow  (Original"," My package didn't arrive, wow  "
247,247,247,2.0,"(Translated by Google) The package from jkt to bdg was really fast, but when it arrived, it took a long time right?? …"," The package from jkt to bdg was really fast, but when it arrived, it took a long time right?? …"," The package from jkt to bdg was really fast, but when it arrived, it took a long time right?? …"
248,248,248,1.0,"(Translated by Google) Ordered electronic goods until now there has been no progress on delivery, it's been 3 days, is there a problem with Shopee Express or what? It's been stored in the warehouse all day, yesterday morning it arrived in …"," Ordered electronic goods until now there has been no progress on delivery, it's been 3 days, is there a problem with Shopee Express or what? It's been stored in the warehouse all day, yesterday morning it arrived in …"," Ordered electronic goods until now there has been no progress on delivery, it's been 3 days, is there a problem with Shopee Express or what? It's been stored in the warehouse all day, yesterday morning it arrived in …"
249,249,249,5.0,,,nan
250,250,250,1.0,"(Translated by Google) My package was the same week now, where is the skincare content anymore :( please if it takes a week like this but the position is in Bandung, I don't understand it, please cooperate, I really need the package …"," My package was the same week now, where is the skincare content anymore :( please if it takes a week like this but the position is in Bandung, I don't understand it, please cooperate, I really need the package …"," My package was the same week now, where is the skincare content anymore :"
251,251,251,1.0,"(Translated by Google) Don't know what to say. What is clear is that my package doesn't work, but its position is in Bandung. Even though from the 29th until now no one came.. …"," Don't know what to say. What is clear is that my package doesn't work, but its position is in Bandung. Even though from the 29th until now no one came.. …"," Don't know what to say. What is clear is that my package doesn't work, but its position is in Bandung. Even though from the 29th until now no one came.. …"
252,252,252,1.0,"(Translated by Google) Sending from Bandung to Bandung just arrived 6 days and it still hasn't arrived I'm surprised the staff only once... Shopee devil, my package didn't come …"," Sending from Bandung to Bandung just arrived 6 days and it still hasn't arrived I'm surprised the staff only once... Shopee devil, my package didn't come …"," Sending from Bandung to Bandung just arrived 6 days and it still hasn't arrived I'm surprised the staff only once... Shopee devil, my package didn't come …"
253,253,253,1.0,,,nan
254,254,254,1.0,"(Translated by Google) Delivery from Jakarta to Bandung within 7 days still not arrived. Delivery from 26 July, now 2 August the shipping status is still in Karawang. :') …"," Delivery from Jakarta to Bandung within 7 days still not arrived. Delivery from 26 July, now 2 August the shipping status is still in Karawang. :'"," Delivery from Jakarta to Bandung within 7 days still not arrived. Delivery from 26 July, now 2 August the shipping status is still in Karawang. :'"
255,255,255,1.0,"(Translated by Google) How can you speed up the delivery, please, for PPKM reasons, but there are no problems with other expeditions, 1 or 2 days it has arrived, my item has been in Bandung for 2 days and didn't go forward, yesterday's …"," How can you speed up the delivery, please, for PPKM reasons, but there are no problems with other expeditions, 1 or 2 days it has arrived, my item has been in Bandung for 2 days and didn't go forward, yesterday's …"," How can you speed up the delivery, please, for PPKM reasons, but there are no problems with other expeditions, 1 or 2 days it has arrived, my item has been in Bandung for 2 days and didn't go forward, yesterday's …"
256,256,256,1.0,(Translated by Google) Zonkk  (Original) Zonkk, Zonkk  (Original, Zonkk  
257,257,257,1.0,(Translated by Google) Critical  (Original) Parah, Critical  (Original, Critical  
258,258,258,1.0,"(Translated by Google) It's bad that it's been 3 days of staying, until now it hasn't arrived …"," It's bad that it's been 3 days of staying, until now it hasn't arrived …"," It's bad that it's been 3 days of staying, until now it hasn't arrived …"
259,259,259,1.0,"(Translated by Google) The expedition is very slow, not like the red one for just one day. Well, it's been 5 days if you don't intend to open an expedition. If you want to choose another expedition at the olshop, you can't do it Hadeeehhh . …"," The expedition is very slow, not like the red one for just one day. Well, it's been 5 days if you don't intend to open an expedition. If you want to choose another expedition at the olshop, you can't do it Hadeeehhh . …"," The expedition is very slow, not like the red one for just one day. Well, it's been 5 days if you don't intend to open an expedition. If you want to choose another expedition at the olshop, you can't do it Hadeeehhh . …"
260,260,260,1.0,"(Translated by Google) Bandung to Bandung, it's been 3 days and the package hasn't arrived, if you can't afford it, it's better not to provide services like this …"," Bandung to Bandung, it's been 3 days and the package hasn't arrived, if you can't afford it, it's better not to provide services like this …"," Bandung to Bandung, it's been 3 days and the package hasn't arrived, if you can't afford it, it's better not to provide services like this …"
261,261,261,1.0,"(Translated by Google) Delivery has not progressed for 4 days, Bandung is still sorting, even though the delivery is 1 city. It's been 5 days, the item has not been received. Been disappointed twice because the delivery was so slow. …"," Delivery has not progressed for 4 days, Bandung is still sorting, even though the delivery is 1 city. It's been 5 days, the item has not been received. Been disappointed twice because the delivery was so slow. …"," Delivery has not progressed for 4 days, Bandung is still sorting, even though the delivery is 1 city. It's been 5 days, the item has not been received. Been disappointed twice because the delivery was so slow. …"
262,262,262,1.0,"(Translated by Google) It's really slow, it's been 5 days, the goods haven't arrived, but from afternoon to East Bandung, the destination …"," It's really slow, it's been 5 days, the goods haven't arrived, but from afternoon to East Bandung, the destination …"," It's really slow, it's been 5 days, the goods haven't arrived, but from afternoon to East Bandung, the destination …"
263,263,263,1.0,"(Translated by Google) The status of the package is received but I never received the package Where is my package, if I haven't paid for it yet, I don't know why it's already …"," The status of the package is received but I never received the package Where is my package, if I haven't paid for it yet, I don't know why it's already …"," The status of the package is received but I never received the package Where is my package, if I haven't paid for it yet, I don't know why it's already …"
264,264,264,5.0,(Translated by Google) Is there a shopee office number that I can contact? Thank you 🙏 …, Is there a shopee office number that I can contact? Thank you 🙏 …, Is there a shopee office number that I can contact? Thank you 🙏 …
265,265,265,1.0,"(Translated by Google) The package was delivered from the morning to the location, thank God it hasn't arrived in 3 days …"," The package was delivered from the morning to the location, thank God it hasn't arrived in 3 days …"," The package was delivered from the morning to the location, thank God it hasn't arrived in 3 days …"
266,266,266,1.0,"(Translated by Google) It's been a long time, my order hasn't moved, it's been there for a few days. Even though it's 1 city, if a normal trip takes 1 hour to arrive, if you use …"," It's been a long time, my order hasn't moved, it's been there for a few days. Even though it's 1 city, if a normal trip takes 1 hour to arrive, if you use …"," It's been a long time, my order hasn't moved, it's been there for a few days. Even though it's 1 city, if a normal trip takes 1 hour to arrive, if you use …"
267,267,267,1.0,"(Translated by Google) JNT, JNE are the best in 1 2 days, the package can arrive immediately. I got SHOPEE EXPRESS, why did it take so long, I wonder what kind of work I do? …"," JNT, JNE are the best in 1 2 days, the package can arrive immediately. I got SHOPEE EXPRESS, why did it take so long, I wonder what kind of work I do? …"," JNT, JNE are the best in 1 2 days, the package can arrive immediately. I got SHOPEE EXPRESS, why did it take so long, I wonder what kind of work I do? …"
268,268,268,1.0,"(Translated by Google) The last time, just using Shopee Express.. Sending it to Bandung district.. 2 days not moving, the status is in the warehouse, then.. Even though the package is really urgent, it needs to be used.. Kapok?!!! …"," The last time, just using Shopee Express.. Sending it to Bandung district.. 2 days not moving, the status is in the warehouse, then.. Even though the package is really urgent, it needs to be used.. Kapok?!!! …"," The last time, just using Shopee Express.. Sending it to Bandung district.. 2 days not moving, the status is in the warehouse, then.. Even though the package is really urgent, it needs to be used.. Kapok?!!! …"
269,269,269,1.0,"(Translated by Google) on the 1st day tracking the goods are picked up in West Jakarta 2nd day sorted in Jakut, 3rd day sent again from JakBar for sorting, 4th day …"," on the 1st day tracking the goods are picked up in West Jakarta 2nd day sorted in Jakut, 3rd day sent again from JakBar for sorting, 4th day …"," on the 1st day tracking the goods are picked up in West Jakarta 2nd day sorted in Jakut, 3rd day sent again from JakBar for sorting, 4th day …"
270,270,270,1.0,(Translated by Google) Look at the courier relaxed I ordered a package that took a long time to send to the destination Intention to work or play …, Look at the courier relaxed I ordered a package that took a long time to send to the destination Intention to work or play …, Look at the courier relaxed I ordered a package that took a long time to send to the destination Intention to work or play …
271,271,271,1.0,"(Translated by Google) Very bad,, slow delivery  (Original) …"," Very bad,, slow delivery  (Original"," Very bad,, slow delivery  "
272,272,272,1.0,"(Translated by Google) It's not clear it's not clear it's not clear, it's explained that the location is not reachable while ordering other items on the same date arrived yesterday. Obviously my house is on the main road. I uninstalled …"," It's not clear it's not clear it's not clear, it's explained that the location is not reachable while ordering other items on the same date arrived yesterday. Obviously my house is on the main road. I uninstalled …"," It's not clear it's not clear it's not clear, it's explained that the location is not reachable while ordering other items on the same date arrived yesterday. Obviously my house is on the main road. I uninstalled …"
273,273,273,1.0,"(Translated by Google) Why hasn't my package arrived in 1 week? even though it's the same from Bandung to Bandung. I deliberately chose the same city as where I live to be faster, but it took too …"," Why hasn't my package arrived in 1 week? even though it's the same from Bandung to Bandung. I deliberately chose the same city as where I live to be faster, but it took too …"," Why hasn't my package arrived in 1 week? even though it's the same from Bandung to Bandung. I deliberately chose the same city as where I live to be faster, but it took too …"
274,274,274,1.0,,,nan
275,275,275,1.0,(Translated by Google) The package status has been received even though the buyer has not received it …, The package status has been received even though the buyer has not received it …, The package status has been received even though the buyer has not received it …
276,276,276,1.0,(Translated by Google) Package Mana Package! Lama Kie aduhh aing mah kacau  (Original) …, Package Mana Package! Lama Kie aduhh aing mah kacau  (Original, Package Mana Package! Lama Kie aduhh aing mah kacau  
277,277,277,1.0,"(Translated by Google) Hello, this courier, what do you do? My package has passed 4 days and it hasn't arrived. I feel like if I use another service, the longest it's only 2 days, it's already 4 working days, what's so bad, the workplace …"," Hello, this courier, what do you do? My package has passed 4 days and it hasn't arrived. I feel like if I use another service, the longest it's only 2 days, it's already 4 working days, what's so bad, the workplace …"," Hello, this courier, what do you do? My package has passed 4 days and it hasn't arrived. I feel like if I use another service, the longest it's only 2 days, it's already 4 working days, what's so bad, the workplace …"
278,278,278,1.0,,,nan
279,279,279,1.0,"(Translated by Google) The package has been 3 days aka 3x failed to send the courier did not contact at all. If this is a stale package, who is responsible? …"," The package has been 3 days aka 3x failed to send the courier did not contact at all. If this is a stale package, who is responsible? …"," The package has been 3 days aka 3x failed to send the courier did not contact at all. If this is a stale package, who is responsible? …"
280,280,280,1.0,"(Translated by Google) I haven't received the package, but the package has been received? How is this? Where is my package? …"," I haven't received the package, but the package has been received? How is this? Where is my package? …"," I haven't received the package, but the package has been received? How is this? Where is my package? …"
281,281,281,1.0,,,nan
282,282,282,4.0,,,nan
283,283,283,1.0,"(Translated by Google) It's bad, fellow Bandung cities, why can't other expeditions arrive quickly …"," It's bad, fellow Bandung cities, why can't other expeditions arrive quickly …"," It's bad, fellow Bandung cities, why can't other expeditions arrive quickly …"
284,284,284,1.0,(Translated by Google) It is stated that the package has been received even though it hasn't been... how about this!!?? …, It is stated that the package has been received even though it hasn't been... how about this!!?? …, It is stated that the package has been received even though it hasn't been... how about this!!?? …
285,285,285,1.0,"(Translated by Google) why are you so upset.. the free postage event went astray, said inspiration. what makes it take so long is the person seriously asking if using a delivery …"," why are you so upset.. the free postage event went astray, said inspiration. what makes it take so long is the person seriously asking if using a delivery …"," why are you so upset.. the free postage event went astray, said inspiration. what makes it take so long is the person seriously asking if using a delivery …"
286,286,286,1.0,"(Translated by Google) Searched according to maps, not even there. What a lie. Should be updated with the new address …"," Searched according to maps, not even there. What a lie. Should be updated with the new address …"," Searched according to maps, not even there. What a lie. Should be updated with the new address …"
287,287,287,1.0,(Translated by Google) It's been so long ah tai  (Original) Lama banget ah tai, It's been so long ah tai  (Original, It's been so long ah tai  
288,288,288,1.0,"(Translated by Google) How is this, my package from the 25th until now, I'm still here in Bandung dc, there's been no change, how come I'm tired of using this, please send the package, why is it taking so long, even the food is getting …"," How is this, my package from the 25th until now, I'm still here in Bandung dc, there's been no change, how come I'm tired of using this, please send the package, why is it taking so long, even the food is getting …"," How is this, my package from the 25th until now, I'm still here in Bandung dc, there's been no change, how come I'm tired of using this, please send the package, why is it taking so long, even the food is getting …"
289,289,289,5.0,(Translated by Google) Friendly  (Original) Ramah, Friendly  (Original, Friendly  
290,290,290,1.0,"(Translated by Google) hi, shopee has passed the estimate but the item is still on its way, but semams is bandung. no movement at all …"," hi, shopee has passed the estimate but the item is still on its way, but semams is bandung. no movement at all …"," hi, shopee has passed the estimate but the item is still on its way, but semams is bandung. no movement at all …"
291,291,291,1.0,"(Translated by Google) It took a long time to arrive, I was tired of waiting, when the package arrived, I uninstalled shopee and changed to tokped byee …"," It took a long time to arrive, I was tired of waiting, when the package arrived, I uninstalled shopee and changed to tokped byee …"," It took a long time to arrive, I was tired of waiting, when the package arrived, I uninstalled shopee and changed to tokped byee …"
292,292,292,1.0,"(Translated by Google) how about this, the package stops here forced to use shopee expedition because there is no other expedition THIS IS THE GOODS PEOPLE WAITING FOR DON'T PLAY FOR LONG, REALLY THE DELIVERY. …"," how about this, the package stops here forced to use shopee expedition because there is no other expedition THIS IS THE GOODS PEOPLE WAITING FOR DON'T PLAY FOR LONG, REALLY THE DELIVERY. …"," how about this, the package stops here forced to use shopee expedition because there is no other expedition THIS IS THE GOODS PEOPLE WAITING FOR DON'T PLAY FOR LONG, REALLY THE DELIVERY. …"
293,293,293,5.0,"(Translated by Google) Please add a banner or something, for the first time there like me, I must be confused to find the place …"," Please add a banner or something, for the first time there like me, I must be confused to find the place …"," Please add a banner or something, for the first time there like me, I must be confused to find the place …"
294,294,294,1.0,"(Translated by Google) since the 24th the package has been on its way and there is no movement at all, it's already past the estimated delivery date, ask shopee cs, they say it's arrived in east bandung but until today it hasn't arrived, …"," since the 24th the package has been on its way and there is no movement at all, it's already past the estimated delivery date, ask shopee cs, they say it's arrived in east bandung but until today it hasn't arrived, …"," since the 24th the package has been on its way and there is no movement at all, it's already past the estimated delivery date, ask shopee cs, they say it's arrived in east bandung but until today it hasn't arrived, …"
295,295,295,1.0,"(Translated by Google) Where is my package? It's been from the 25th in the morning.. It hasn't arrived* to me yet. The trustworthy one is the courier / delivery party, …"," Where is my package? It's been from the 25th in the morning.. It hasn't arrived* to me yet. The trustworthy one is the courier / delivery party, …"," Where is my package? It's been from the 25th in the morning.. It hasn't arrived* to me yet. The trustworthy one is the courier / delivery party, …"
296,296,296,1.0,"(Translated by Google) How is the delivery of my package, the last update was on June 24, 2021 at 12.01, the package has arrived at the eastern Bandung hub, I thought yesterday afternoon the package would arrive or at the latest on June 25, …"," How is the delivery of my package, the last update was on June 24, 2021 at 12.01, the package has arrived at the eastern Bandung hub, I thought yesterday afternoon the package would arrive or at the latest on June 25, …"," How is the delivery of my package, the last update was on June 24, 2021 at 12.01, the package has arrived at the eastern Bandung hub, I thought yesterday afternoon the package would arrive or at the latest on June 25, …"
297,297,297,1.0,"(Translated by Google) Delivery from jkt-bdg, laammmaaaa baannggeettsss! Do you intend to work? …"," Delivery from jkt-bdg, laammmaaaa baannggeettsss! Do you intend to work? …"," Delivery from jkt-bdg, laammmaaaa baannggeettsss! Do you intend to work? …"
298,298,298,1.0,"(Translated by Google) I had to use this expedition because I forgot to change the delivery service at shoppee. Finally, this is it. According to my expectations, the goods are stuck in the warehouse. In conclusion, JNT is indeed the best. …"," I had to use this expedition because I forgot to change the delivery service at shoppee. Finally, this is it. According to my expectations, the goods are stuck in the warehouse. In conclusion, JNT is indeed the best. …"," I had to use this expedition because I forgot to change the delivery service at shoppee. Finally, this is it. According to my expectations, the goods are stuck in the warehouse. In conclusion, JNT is indeed the best. …"
299,299,299,1.0,"(Translated by Google) in dc bandung this is the longest possible from the sorter too, replace employees who have loyal and responsible nature …"," in dc bandung this is the longest possible from the sorter too, replace employees who have loyal and responsible nature …"," in dc bandung this is the longest possible from the sorter too, replace employees who have loyal and responsible nature …"
300,300,300,5.0,,,nan
301,301,301,2.0,(Translated by Google) Delivery within the city of Bandung to Bandung 2 days has not arrived yet ️ …, Delivery within the city of Bandung to Bandung 2 days has not arrived yet ️ …, Delivery within the city of Bandung to Bandung 2 days has not arrived yet ️ …
